课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,30,2526121019400001,德语口语Ⅱ01班,21019400,德语口语Ⅱ,2,外国语学院,专业核心课,STEFFENSMARCELMAURICEMANUEL,"2024全球治理与国际事务实验班1班,外院2024涉外法治双学士学位复合型人才培养项目1班,2024德语1班,2024涉外法治双学士学位复合型人才培养项目1班",24,0,"1: 1-16周, 单双周,星期五, 7-8节, 立德309;",
,31,2526121019401001,德语分析阅读Ⅰ01班,21019401,德语分析阅读Ⅰ,2,外国语学院,专业核心课,彭逸,"2024全球治理与国际事务实验班1班,外院2024涉外法治双学士学位复合型人才培养项目1班,2024德语1班,2024涉外法治双学士学位复合型人才培养项目1班",26,0,"1: 1-16周, 单双周,星期五, 9-10节, 立德311;",
,32,2526121019404001,德语基础写作Ⅱ01班,21019404,德语基础写作Ⅱ,2,外国语学院,专业核心课,STEFFENSMARCELMAURICEMANUEL,"2023涉外法治实验班1班,2023德语1班,2023涉外法治双学士学位项目班",20,1,"1: 1-16周, 单双周,星期五, 1-2节, 立德309;",
,33,2526121019422001,基础法语Ⅰ基地班,21019422,基础法语Ⅰ,6,外国语学院,专业核心课,"GATTANO MARC,方琳琳",2025涉外法治战略人才班1班,30,0,"1: 1周, 单双周,星期四, 7-8节, 明国0205; 2: 1-2,4-16周, 单双周,星期五, 7-8节, 立德706; 3: 1-2,4-16周, 单双周,星期五, 9-10节, 立德706; 4: 2-16周, 单双周,星期四, 7-8节, 教二2302; 5: 3周, 单双周,星期五, 7-8节, 立德706; 6: 3周, 单双周,星期五, 9-10节, 立德706; 7: 8周, 单双周,星期三, 7-8节, 教三3202; 8: 8周, 单双周,星期三, 9-10节, 教三3202;",
,34,2526121019461001,英语口语01班,21019461,英语口语,2,外国语学院,专业核心课,WONG JONATHAN STEPHEN,2025英语[1-2]班,24,2,"1: 1-16周, 单双周,星期五, 9-10节, 明国0306;",
,35,2526121019461002,英语口语02班,21019461,英语口语,2,外国语学院,专业核心课,WONG JONATHAN STEPHEN,"2025“涉外法治”创新人才班1班,2025英语[1-2]班",24,2,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 明国0307; 2: 3周, 单双周,星期日, 3-4节, 明国0307;",
,36,2526121019461004,英语口语01班,21019461,英语口语,2,新闻学院,专业核心课,赵洋,2025国际新闻传播战略人才班1班,40,3,"1: 1-16周, 单双周,星期五, 1-2节, 明新0201;",
,37,2526121019466001,世界通史Ⅰ01班,21019466,世界通史Ⅰ,2,历史学院,专业基础课,宁雅,2025社会科学基础理论拔尖人才班1班,25,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 教二2201; 2: 5周, 单双周,星期六, 3-4节, 教二2201;",
,38,2526121019502001,人文物理通识与探索性实验01班,21019502,人文物理通识与探索性实验,2,物理学院,通识核心课,庞斐,"信息学院|*|*|不可选,化学与生命资源学院|*|*|不可选,应用数学研究中心|*|*|不可选,数学学院|*|*|不可选,物理学院|*|*|不可选,统计学院|*|*|不可选,高瓴人工智能学院|*|*|不可选",20,0,"1: 1-4,6-12周, 单双周,星期三, 11-13节, 理工721A; 2: 5周, 单双周,星期六, 11-13节, 理工721A;",
,39,2526121019502002,人文物理通识与探索性实验02班,21019502,人文物理通识与探索性实验,2,物理学院,通识核心课,陈珊珊,"信息学院|*|*|不可选,化学与生命资源学院|*|*|不可选,应用数学研究中心|*|*|不可选,数学学院|*|*|不可选,物理学院|*|*|不可选,统计学院|*|*|不可选,高瓴人工智能学院|*|*|不可选",20,0,"1: 1-12周, 单双周,星期四, 11-13节, 理工721A;",
,40,2526121019502003,人文物理通识与探索性实验03班,21019502,人文物理通识与探索性实验,2,物理学院,通识核心课,程志海,"信息学院|*|*|不可选,化学与生命资源学院|*|*|不可选,应用数学研究中心|*|*|不可选,数学学院|*|*|不可选,物理学院|*|*|不可选,统计学院|*|*|不可选,高瓴人工智能学院|*|*|不可选",20,0,"1: 1-4,6-12周, 单双周,星期二, 11-13节, 理工721A; 2: 3周, 单双周,星期日, 11-13节, 理工721A;",
,41,2526121019509001,《人间词话》品读01班,21019509,《人间词话》品读,2,文学院,一般通识课,朱子辉,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",40,0,"1: 1周, 单双周,星期三, 3-4节, 教三3405; 2: 2-4,6-16周, 单双周,星期三, 3-4节, 教三3405; 3: 2周, 单双周,星期六, 11-12节, 教二2214; 4: 5周, 单双周,星期六, 3-4节, 教三3405;",
