课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,10,2526121017282001,农村发展概论01班,21017282,农村发展概论,3,农业与农村发展学院,专业核心课,"程漱兰,程漱兰,董筱丹,董筱丹","2023农业经济管理类1班,2023应用经济-农村区域发展管理双学士学位复合型人才培养项目1班,2023应用经济—农村区域发展管理双学士学位班",39,4,"1: 1-4,6周, 单双周,星期三, 1-3节, 明法0102; 2: 13-16周, 单双周,星期三, 1-3节, 明法0102; 3: 5周, 单双周,星期六, 1-3节, 明法0102; 4: 7-12周, 单双周,星期三, 1-3节, 明法0102;",
,11,2526121017289001,民国文化史01班,21017289,民国文化史,2,历史学院,公共选修课,吴效马,*|*|*|可选,30,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 教二2402; 2: 3周, 单双周,星期日, 11-12节, 教二2402;",
,12,2526121017294001,世界史前史01班,21017294,世界史前史,2,历史学院,个性化选修,唐小佳,历史学院|*|*|可选,25,5,"1: 1-16周, 单双周,星期一, 5-6节, 教二2201;",
,13,2526121017303001,停开-城市更新与旧城保护01班,21017303,城市更新与旧城保护,2,公共管理学院,个性化选修,张磊,"2023可持续发展与城市治理实验班1班,2023统计-公共管理实验班1班,2023城市管理1班,2023统计-公共管理实验班",34,10,"1: 1-16周, 单双周,星期四, 7-8节, 立德603;",
,14,2526121017356001,商业数据分析 23国商必修,21017356,商业数据分析,2,商学院,专业核心课,王建果,"商学院2023级本科[1-6]班,商学院2023级智能会计方向班",25,5,"1: 9-16周, 单双周,星期一, 1-4节, 立德706;",
,15,2526121017732001,佛法的世界01班,21017732,佛法的世界,2,哲学院,个性化选修,宣方,"2024宗教学1班,*|*|*|可选",60,0,"1: 1周, 单双周,星期二, 5-6节, 立德1002; 2: 2-4,6-16周, 单双周,星期二, 5-6节, 立德410; 3: 3周, 单双周,星期日, 5-6节, 立德410;",
,16,2526121017737001,考古学概论01班,21017737,考古学概论,2,历史学院,公共选修课,马利清,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 教二2118; 2: 3周, 单双周,星期日, 11-12节, 教二2118;",
,17,2526121017783001,产业组织理论01班,21017783,产业组织理论,2,经济学院,个性化选修,邝仲弘,"2023“经济学-数学”双学士学位复合型人才培养项目1班,2023经济学类[1-4]班,2023经济学-数学双学位实验班",35,5,"1: 1-16周, 单双周,星期五, 9-10节, 明商0105;",
,18,2526121017801001,中国宏观经济专题研究01班,21017801,中国宏观经济专题研究,2,应用经济学院,公共选修课,郑超愚,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期四, 3-4节, 明商0201;",
,19,2526121017807001,中国区域经济发展格局01班,21017807,中国区域经济发展格局,2,应用经济学院,公共选修课,刘玉,*|*|*|可选,30,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 明商0201; 2: 5周, 单双周,星期六, 5-6节, 明商0201;",
,20,2526121017811001,（停开）西方产业布局学理论01班,21017811,西方产业布局学理论,2,应用经济学院,公共选修课,张可云,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期四, 11-12节, 明商0201;",
,21,2526121017841001,当代中日关系01班,21017841,当代中日关系,2,国际关系学院,一般通识课,王星宇,"*|2025|*|可选,*|2022|*|可选,*|2023|*|可选,*|2024|*|可选",150,0,"1: 1-4,6-15周, 单双周,星期二, 5-6节, 明法0201; 2: 16周, 单双周,星期二, 5-6节, 教三3101; 3: 3周, 单双周,星期日, 5-6节, 明法0201;",
,22,2526121017885001,俄罗斯历史与文化01班,21017885,俄罗斯历史与文化,2,历史学院,个性化选修,叶柏川,历史学院|*|*|可选,22,13,"1: 1周, 单双周,星期五, 5-6节, 教二2402; 2: 2-16周, 单双周,星期五, 5-6节, 教二2112;",
,23,2526121017893001,社会心理学01班,21017893,社会心理学,2,心理学系,公共选修课,张登浩,*|*|*|可选,30,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德706; 2: 3周, 单双周,星期日, 3-4节, 立德706;",
,24,2526121017908001,SQLserver商务智能基础01班,21017908,SQLserver商务智能基础,2,信息学院,公共选修课,张延松,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",50,5,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 教二2409; 2: 3周, 单双周,星期日, 5-6节, 教二2409;",
,25,2526121017910001,金融大数据分析与量化交易01班,21017910,金融大数据分析与量化交易,2,信息学院,公共选修课,覃雄派,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",51,5,"1: 1-16周, 单双周,星期四, 3-4节, 教二2409;",
,26,2526121017922001,ERP沙盘模拟01班,21017922,ERP沙盘模拟,2,信息学院,公共选修课,钟佳桂,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",36,0,"1: 1-16周, 单双周,星期五, 7-8节, 立德1009;",
,27,2526121017922002,ERP沙盘模拟02班,21017922,ERP沙盘模拟,2,信息学院,公共选修课,钟佳桂,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",36,0,"1: 1-16周, 单双周,星期五, 9-10节, 立德1009;",
,28,2526121017922003,ERP沙盘模拟03班,21017922,ERP沙盘模拟,2,信息学院,公共选修课,钟佳桂,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",36,0,"1: 1-16周, 单双周,星期五, 11-12节, 立德1009;",
,29,2526121017927001,房地产开发与经营01班,21017927,房地产开发与经营,2,公共管理学院,个性化选修,张跃松,"*|2024|*|可选,*|2021|*|可选,*|2022|*|可选,*|2023|*|可选",40,10,"1: 1-16周, 单双周,星期一, 7-8节, 教三3205;",
,30,2526121017950001,医改与健康01班,21017950,医改与健康,2,公共管理学院,公共选修课,王虎峰,*|*|*|可选,30,10,"1: 1-4,6-8周, 单双周,星期二, 11-14节, 立德1001; 2: 3周, 单双周,星期日, 11-14节, 立德1001;",
,31,2526121017951001,中国收入分配与社会保障01班,21017951,中国收入分配与社会保障,2,公共管理学院,公共选修课,程永宏,*|*|*|可选,20,20,"1: 1-16周, 单双周,星期五, 7-8节, 立德1006;",
,32,2526121017952001,中国农业经济概论01班,21017952,中国农业经济概论,2,农业与农村发展学院,公共选修课,曾寅初,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期五, 5-6节, 明商0205;",
,33,2526121017961001,中国土地问题专题01班,21017961,中国土地问题专题,2,农业与农村发展学院,公共选修课,张清勇,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期一, 5-6节, 立德512;",
,34,2526121017965001,环境心理学01班,21017965,环境心理学,2,农业与农村发展学院,个性化选修,于亢亢,2023农业经济管理类1班,25,0,"1: 1-16周, 单双周,星期五, 3-4节, 立德410;",
,35,2526121017975001,森林文化与旅游01班,21017975,森林文化与旅游,2,农业与农村发展学院,公共选修课,崔海兴,*|*|*|可选,20,0,"1: 1-7,10-16周, 单双周,星期四, 11-12节, 教二2202; 2: 8-9周, 单双周,星期四, 11-12节, 教二2202; 3: 8周, 单双周,星期六, 1-4节, ;",
,36,2526121017978001,中国茶文化01班,21017978,中国茶文化,2,农业与农村发展学院,公共选修课,王雨濛,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 明国0306; 2: 3周, 单双周,星期日, 5-6节, 明国0306;",
,37,2526121018004001,教育管理纠纷案例分析01班,21018004,教育管理纠纷案例分析,2,教育学院,公共选修课,"叶阳永,申素平",*|*|*|可选,30,0,"1: 1-4,6-8周, 单双周,星期三, 5-6节, 国学楼110; 2: 5周, 单双周,星期六, 5-6节, 国学楼110; 3: 9-16周, 单双周,星期三, 5-6节, 国学楼110;",
,38,2526121018023001,英文短篇小说选读01班,21018023,英文短篇小说选读,2,外国语学院,公共选修课,贾国栋,"*|2022|*|可选,*|2024|*|可选,*|2023|*|可选",30,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 立德402; 2: 3周, 单双周,星期日, 5-6节, 立德402;",
,39,2526121018025001,乡村旅游与生态观光01班,21018025,乡村旅游与生态观光,2,农业与农村发展学院,公共选修课,"社会学系,黄波",*|*|*|可选,20,0,"1: 1-2,4-10,12-16周, 单双周,星期四, 5-6节, 明商0205; 2: 3,11周, 单双周,星期四, 5-6节, 明商0205; 3: 5周, 单双周,星期日, 1-4节, ;",
,40,2526121018034001,二外俄语Ⅰ01班,21018034,二外俄语Ⅰ,2,外国语学院,公共选修课,VASILYEVA ZHANNA,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选,外国语学院|*|俄语|不可选",30,0,"1: 1-16周, 单双周,星期五, 5-6节, 明国0106;",
,41,2526121018038001,二外日语Ⅰ01班,21018038,二外日语Ⅰ,2,外国语学院,公共选修课,储叶明,"*|2022|*|可选,*|2024|*|可选,*|2023|*|可选,外国语学院|*|日语|不可选",30,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 明商0104; 2: 3周, 单双周,星期日, 5-6节, 明商0104;",
,42,2526121018039001,二外日语Ⅱ01班,21018039,二外日语Ⅱ,2,外国语学院,公共选修课,吴桐,"*|2022|*|可选,*|2024|*|可选,*|2023|*|可选,外国语学院|*|日语|不可选",30,0,"1: 1-16周, 单双周,星期一, 5-6节, 明国0307;",
,43,2526121018045001,【停开】古希伯来语基础01班,21018045,古希伯来语基础,2,文学院,公共选修课,LEEB LEOPOLD,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",40,0,"1: 1-16周, 单双周,星期一, 11-12节, 教三3301;",
,44,2526121018048001,拉丁语基础01班,21018048,拉丁语基础,2,文学院,公共选修课,LEEB LEOPOLD,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",40,0,"1: 1-16周, 单双周,星期一, 5-6节, 教三3301;",
,45,2526121018064001,人文社会科学信息检索01班【停开】,21018064,人文社会科学信息检索,2,图书馆,公共选修课,马瑜,*|*|*|可选,25,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 图书馆201; 2: 5周, 单双周,星期六, 3-4节, 图书馆201;",
,46,2526121018064002,人文社会科学信息检索02班,21018064,人文社会科学信息检索,2,图书馆,公共选修课,张琳,*|*|*|可选,25,0,"1: 1-16周, 单双周,星期五, 3-4节, 图书馆201;",
,47,2526121018074001,应用心理学01班,21018074,应用心理学,2,应用经济学院,公共选修课,张耀军,*|*|*|可选,26,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 明商0206; 2: 5周, 单双周,星期六, 5-6节, 明商0206;",
,48,2526121018075002,大学生医学知识专题讲座01班,21018075,大学生医学知识专题讲座,2,校医院,公共选修课,"宋娜娜,王晓杰,崔芳囡,周艳,杨静,朱慧楠,王志国,包少瑜,赵文明,马红梅,李丽,张纨,兰思杨,董西慧,张海珍",*|*|*|可选,150,0,"1: 1-16周, 单双周,星期四, 5-6节, 教一1205;",
,49,2526121018078001,情感心理学01班,21018078,情感心理学,2,学生处,公共选修课,胡邓,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",75,0,"1: 1-16周, 单双周,星期四, 11-12节, 立德901;",
,50,2526121018081001,停开商品广告学01班,21018081,商品广告学,2,创业学院,公共选修课,陈冠,*|*|*|可选,20,5,"1: 1-16周, 单双周,星期一, 9-10节, 教二2216;",
,1,2526121018083001,营销模拟01班,21018083,营销模拟,2,商学院,公共选修课,陈智勇,*|*|*|可选,20,0,"1: 6-7周, 单双周,星期六, 1-10节, 明德地下A; 2: 6-7周, 单双周,星期日, 1-10节, 明德地下A;",
,2,2526121018084001,大学生创业训练01班【停开】,21018084,大学生创业训练,2,商学院,公共选修课,王强,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",45,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 立德906; 2: 3周, 单双周,星期日, 7-8节, 立德906;",
,3,2526121018093001,建筑与神话01班,21018093,建筑与神话,2,哲学院,公共选修课,陈世珍,*|*|*|可选,40,0,"1: 1-4,6,9-16周, 单双周,星期三, 11-12节, 教三3104; 2: 5周, 单双周,星期六, 11-12节, 教三3104; 3: 7-8周, 单双周,星期三, 11-12节, 教三3104; 4: 8周, 单双周,星期六, 1-4节, ;",
,4,2526121018177001,创业故事与情景模拟01班,21018177,创业故事与情景模拟,2,商学院,公共选修课,王强,"*|2022|*|可选,*|2025|*|可选,*|2024|*|可选,*|2023|*|可选",15,5,"1: 1-8,10-16周, 单双周,星期一, 5-6节, 明商0206; 2: 9周, 单双周,星期一, 5-6节, 明商0206;",
,5,2526121018212001,古希腊历史与文化01班,21018212,古希腊历史与文化,2,历史学院,个性化选修,刘书孟,历史学院|*|*|可选,20,10,"1: 1-7,9-16周, 单双周,星期四, 9-10节, 教二2212; 2: 8周, 单双周,星期四, 9-10节, 教二2212; 3: 9周, 单双周,星期日, 9-10节, 教二2212;",
,6,2526121018215001,清代宫廷史01班,21018215,清代宫廷史,2,历史学院,个性化选修,董建中,历史学院|*|*|可选,15,20,"1: 1-16周, 单双周,星期五, 5-6节, 教二2110;",
,7,2526121018216001,清代社会生活01班,21018216,清代社会生活,2,历史学院,个性化选修,颜军,历史学院|*|*|可选,20,10,"1: 1-16周, 单双周,星期四, 11-12节, 教二2212;",
,8,2526121018217001,图像中的历史01班,21018217,图像中的历史,2,历史学院,个性化选修,颜军,历史学院|*|*|可选,20,10,"1: 1-16周, 单双周,星期五, 5-6节, 教二2201;",
,9,2526121018231001,时间序列计量经济学01班,21018231,时间序列计量经济学,2,经济学院,个性化选修,王莹,"2023经济学类[1-4]班,2023经济学（中国特色经济学方向）拔尖班",40,10,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 教三3307; 2: 3周, 单双周,星期日, 11-12节, 教三3307;",
,10,2526121018233001,西班牙语听力Ⅱ01班,21018233,西班牙语听力Ⅱ,2,外国语学院,专业核心课,PEREZ LABRA ANGELO MATIAS,"2024全球治理与国际事务实验班1班,2024西班牙语1班",25,0,"1: 1-16周, 单双周,星期一, 13-14节, 明国0207;",
,11,2526121018235001,西班牙语听力Ⅳ01班,21018235,西班牙语听力Ⅳ,2,外国语学院,专业核心课,PEREZ LABRA ANGELO MATIAS,2023西班牙语1班,20,0,"1: 1-16周, 单双周,星期四, 9-10节, 明国0103;",
,12,2526121018239001,大学西班牙语Ⅱ01班,21018239,大学西班牙语Ⅱ,4,外国语学院,公共外语,PEREZ LABRA ANGELO MATIAS,"2024国际新闻全英文实验班1班,2024全球治理与国际事务实验班1班,2024英语[1-2]班,2024国际新闻全英文实验班",20,0,"1: 1-16周, 单双周,星期一, 11-12节, 明国0207; 2: 1-16周, 单双周,星期四, 13-14节, 明国0207;",
,13,2526121018270001,中国哲学01班,21018270,中国哲学,3,哲学院,专业核心课,李记芬,2024政治学、经济学与哲学专业（PPE实验班）1班,40,0,"1: 10周, 单双周,星期四, 7-9节, 立德906; 2: 1-9,11-16周, 单双周,星期四, 7-9节, 立德906;",
,14,2526121018295001,造型基础,21018295,造型基础,2,美育中心,美育课程,朱兴国,*|*|*|可选,15,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 立德412; 2: 3周, 单双周,星期日, 5-6节, 立德412;",
,15,2526121018500001,晚明天启朝史01班,21018500,晚明天启朝史,2,历史学院,公共选修课,宋瞳,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 教二2402; 2: 5周, 单双周,星期六, 5-6节, 教二2402;",
,16,2526121018503001,石器时代考古01班,21018503,石器时代考古,3,历史学院,专业核心课,吕学明,"2024历史学类强基计划（考古学）1班,2024考古学1班",20,5,"1: 1-10,12-16周, 单双周,星期一, 1-3节, 教二2402; 2: 11周, 单双周,星期一, 1-3节, 教二2402;",
,17,2526121018523001,英语视听说Ⅰ01班,21018523,英语视听说Ⅰ,2,新闻学院,专业核心课,任贺贺,2025国际新闻传播战略人才班1班,40,3,"1: 1-16周, 单双周,星期一, 1-2节, 明新0201;",
,18,2526121018531001,德语口译理论与实践Ⅱ01班,21018531,德语口译理论与实践Ⅱ,2,外国语学院,专业核心课,张敏,外国语学院2022级德语班,20,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德309; 2: 3周, 单双周,星期日, 3-4节, 立德309;",
,19,2526121018533001,德语学术论文写作及研究方法01班,21018533,德语学术论文写作及研究方法,2,外国语学院,专业核心课,徐胤,"2022涉外法治实验班1班,外国语学院2022级德语班",20,0,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 立德311; 2: 3周, 单双周,星期日, 7-8节, 立德311;",
,20,2526121018537001,西班牙文学01班,21018537,西班牙文学,2,外国语学院,专业核心课,包尉歆,2023西班牙语1班,20,0,"1: 1-4,6-16周, 单双周,星期二, 9-10节, 明国0207; 2: 3周, 单双周,星期日, 9-10节, 明国0207;",
,21,2526121018542001,高级日语Ⅰ01班,21018542,高级日语Ⅰ,4,外国语学院,专业核心课,刘妍,"2023涉外法治实验班1班,2023日语1班,2023涉外法治双学士学位项目班",25,0,"1: 1-16周, 单双周,星期一, 7-8节, 明国0307; 2: 1-16周, 单双周,星期四, 7-8节, 明国0307;",
,22,2526121018547001,中日笔译理论与实践01班,21018547,中日笔译理论与实践,2,外国语学院,专业核心课,李竞一,2023日语1班,25,0,"1: 1-16周, 单双周,星期一, 9-10节, 明国0306;",
,23,2526121018548001,高级日语Ⅲ01班,21018548,高级日语Ⅲ,4,外国语学院,专业核心课,NAGASHIMA YOICHI,外国语学院2022级日语班,25,0,"1: 1-16周, 单双周,星期四, 7-8节, 立德311; 2: 1-16周, 单双周,星期四, 9-10节, 立德311;",
,24,2526121018550001,日本文学概论01班,21018550,日本文学概论,2,外国语学院,专业核心课,"戴焕,戴焕",2023日语1班,25,0,"1: 10周, 单双周,星期一, 1-2节, 教二2212; 2: 1-8,10-16周, 单双周,星期五, 7-8节, 教二2212; 3: 9周, 单双周,星期五, 7-8节, 教二2212;",
,25,2526121018553001,【停开】IT产品编程与开发01班,21018553,IT产品编程与开发,2,信息资源管理学院,个性化选修,"牛力,刘力超","2023级信息资源管理大类班,2023级新路引航班",25,10,"1: 1周, 单双周,星期二, 9-10节, 信息楼0403; 2: 2-4,6-16周, 单双周,星期二, 9-10节, 信息楼0403; 3: 3周, 单双周,星期日, 9-10节, 信息楼0403;",
,26,2526121018554001,企业竞争力分析01班,21018554,企业竞争力分析,2,信息资源管理学院,个性化选修,褚峻,"2023“新媒体运营-数据管理”双学士学位复合型人才培养项目班,2023级“新媒体运营-数据管理”双学士学位班,2023级信息资源管理大类班,2023级新路引航班,2025信息资源管理类班......",25,5,"1: 1-16周, 单双周,星期五, 9-10节, 教二2110;",
,27,2526121018560001,商业与全球价值链 23贸经必修,21018560,商业与全球价值链,2,商学院,专业核心课,谢莉娟,"商学院2023级本科[1-6]班,商学院2023级智能会计方向班",25,5,"1: 1-16周, 单双周,星期一, 1-2节, 明商0204;",
,28,2526121018561002,物流与供应链管理02班,21018561,物流与供应链管理,2,商学院,个性化选修,王强,"2022工商管理-法学双学士学位项目1班,商学院2022级本科[1-6]班,商学院2023级本科[1-6]班,商学院2022级智能会计专业班,商学院2022级贸易经济班,商学院2023级工......",26,4,"1: 1-16周, 单双周,星期一, 13-14节, 明商0201;",
,29,2526121018561001,物流与供应链管理01班,21018561,物流与供应链管理,2,商学院,个性化选修,王强,"2022工商管理-法学双学士学位项目1班,商学院2022级本科[1-6]班,商学院2023级本科[1-6]班,商学院2022级智能会计专业班,商学院2022级贸易经济班,商学院2023级工......",25,5,"1: 1-16周, 单双周,星期一, 11-12节, 明商0201; 2: 12周, 单双周,星期一, 11-12节, 明商0201;",
